Time [s],Velocity [km/h],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],SoC [%],displayed SoC [%],min. SoC [%],max. SoC [%),Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Requested Coolant Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C],Location
0.0,2.22,487.0,25.18,25.0,0.54,0.0,379.9,-12.9,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.2958, 76.6394)"
0.1,2.32,487.0,25.49,35.53,0.68,0.0,379.89,-13.0,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29583228549589, 76.63944563347984)"
0.2,2.53,487.0,25.03,48.03,0.92,0.0,379.79,-14.1,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.295864570991784, 76.63949126695968)"
0.3,2.81,487.0,24.89,55.97,1.06,0.0,379.7,-15.14,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.295896856487674, 76.63953690043951)"
0.4,3.12,487.0,24.08,56.09,1.1,0.0,379.7,-15.59,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.295929141983565, 76.63958253391935)"
0.5,3.47,487.0,22.54,59.38,1.12,0.0,379.7,-16.0,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.295961427479456, 76.6396281673992)"
0.6,3.8,487.0,20.03,59.0,1.09,0.0,379.7,-16.05,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29599371297535, 76.63967380087904)"
0.7,4.12,487.0,17.1,55.97,0.99,0.0,379.7,-16.0,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29602599847124, 76.63971943435887)"
0.8,4.38,487.0,15.27,47.75,0.84,0.0,379.75,-14.9,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296058283967131, 76.63976506783871)"
0.9,4.58,487.0,14.8,36.38,0.65,0.0,379.8,-13.81,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296090569463024, 76.63981070131855)"
1.0,4.73,487.0,14.95,26.47,0.5,0.0,379.85,-12.86,31.0,32.0,63.4,72.0,8,90,0.0,0,2.57,0,33.5,0,14.5,39.84,"(12.296122854958915, 76.6398563347984)"
1.1,4.82,487.0,15.74,19.44,0.45,0.0,379.9,-11.95,31.0,32.0,63.4,72.0,8,90,0.0,0,2.59,0,33.5,0,14.5,39.84,"(12.296155140454806, 76.63990196827822)"
1.2,4.88,487.0,20.08,14.52,0.4,0.0,379.9,-11.4,31.0,32.0,63.4,72.0,8,90,0.0,0,2.6,0,33.5,0,14.5,39.84,"(12.296187425950697, 76.63994760175807)"
1.3,4.91,487.0,24.4,12.99,0.35,0.0,379.9,-10.97,31.0,32.0,63.4,72.0,8,90,0.0,0,2.6,0,33.5,0,14.5,39.84,"(12.29621971144659, 76.63999323523791)"
1.4,4.93,487.0,25.98,13.49,0.36,0.0,379.9,-11.67,31.0,32.0,63.4,72.0,8,90,0.0,0,2.6,0,33.5,0,14.5,39.84,"(12.29625199694248, 76.64003886871775)"
1.5,4.99,487.0,27.2,18.04,0.4,0.0,379.89,-12.42,31.0,32.0,63.4,72.0,8,90,0.0,0,2.59,0,33.5,0,14.5,39.84,"(12.296284282438371, 76.64008450219758)"
1.6,5.12,487.0,29.38,26.49,0.48,0.0,379.79,-13.72,31.0,32.0,63.4,72.0,8,90,0.0,0,2.58,0,33.5,0,14.5,39.84,"(12.296316567934262, 76.64013013567742)"
1.7,5.25,487.0,30.63,33.51,0.64,0.0,379.69,-15.05,31.0,32.0,63.4,72.0,8,90,0.0,0,2.58,0,33.5,0,14.5,39.84,"(12.296348853430155, 76.64017576915727)"
1.8,5.45,487.0,32.18,43.52,0.77,0.0,379.59,-16.65,31.0,32.0,63.4,72.0,8,90,0.0,0,2.57,0,33.5,0,14.5,39.84,"(12.296381138926046, 76.64022140263711)"
1.9,5.65,487.0,32.18,52.52,0.84,0.0,379.5,-18.19,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296413424421937, 76.64026703611694)"
2.0,5.9,487.0,32.18,59.02,0.91,0.0,379.45,-19.19,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29644570991783, 76.64031266959678)"
2.1,6.18,487.0,33.1,61.04,0.93,0.0,379.4,-20.18,31.0,32.0,63.4,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29647799541372, 76.64035830307662)"
2.2,6.5,487.0,33.4,64.49,0.96,0.0,379.35,-20.98,31.0,32.0,63.35,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296510280909612, 76.64040393655647)"
2.3,6.83,487.0,33.4,65.51,1.01,0.0,379.3,-21.71,31.0,32.0,63.3,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296542566405503, 76.64044957003631)"
2.4,7.18,487.0,33.28,66.0,0.99,0.0,379.25,-21.86,31.0,32.0,63.3,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296574851901395, 76.64049520351614)"
2.5,7.5,487.0,33.4,64.99,0.91,0.0,379.2,-21.99,31.0,32.0,63.3,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296607137397286, 76.64054083699598)"
2.6,7.83,487.0,33.88,61.99,0.81,0.0,379.2,-21.84,31.0,32.0,63.3,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.296639422893177, 76.64058647047582)"
2.7,8.16,487.0,34.03,58.98,0.82,0.0,379.2,-21.62,31.0,32.0,63.3,72.0,8,90,0.0,0,2.56,0,33.5,0,14.5,39.84,"(12.29667170838907, 76.64063210395567)"
